Name,About,Website,Email,Address,Phone,Food,Housing,Health_Care,Supplies,Advisory_Counseling,Employment_Training,Community,Families_Women_and_Children,Items_Needed,Area
La Voz Latina,"Operating under the umbrella of the Tenderloin Housing Clinic, La Voz Latina  supports low-income, monolingual Spanish-speaking immigrants in the neighborhood by providing housing assistance, immigration information and advocacy, Spanish interpretation, public safety, and leadership and skill development.",http://lavozlatinasf.org,dina@thclinic.org,"456 Ellis St., San Francisco",415-983-3970,,x,,,x,x,,,"Business attire for job interviews, clothing, toys (especially Christmas toys)",SF
Larkin Street Youth Services,"Larkin Street Youth Services helps people ages 12-24 to exit homelessness. The organization provides services including outreach and engagement, housing, education, employment and health programs.",http://larkinstreetyouth.org,info@larkinstreetyouth.org,"134 Golden Gate Ave., San Francisco",415-673-0911,,x,x,x,,x,x,x,"Socks, underwear (adult sizes), backpacks, gift cards.",SF
Loved Twice,Loved Twice distributes baby clothing via social workers who serve families with newborns.,http://lovedtwice.org,info@lovedtwice.org,N/A,N/A,,,,x,,,,x,Baby clothes in sizes 0-12 months,EB
Monument Crisis Center,Monument Crisis Center is a family resource center that serves central and eastern Contra Costa County.,http://monumentcrisiscenter.org,dscherer@monumentcrisiscenter.org,"1990 Market St., Concord",925-825-7751,x,,,,x,,,x,"Nonperishable or perishable food items. Especially in need of cereal, peanut butter, tuna, canned chicken and toiletries, diapers",EB
North Beach Citizens,"North Beach Citizens  address the needs of its homeless and low-income citizens. Since 2001, the organization has helped hundreds transition from homelessness to housing and from crisis to community.",http://northbeachcitizens.org,info@northbeachcitizens.org,"1034 Kearny St., San Francisco, CA 94133",415-772-0918,,x,,x,,,,,"Household items, toiletries, socks, undergarments, new and gently used clothing, especially men's pants",SF
Oakland Elizabeth House,Oakland Elizabeth House is a shelter that serves homeless women and children.,http://oakehouse.org,oakehouse@oakehouse.org,"P.O. Box 1175, Berkeley, CA 94701","510-658-1380, ext. 205",,x,,x,,,,x,Gently worn clothes for all ages,EB
Open Heart Kitchen,Open Heart Kitchen serves free prepared meals  to the hungry people of the Tri-Valley area.,http://openheartkitchen.org,"operationsdirector@openheartkitchen.org, volunteercoordinator@openheartkitchen.org","1141 Catalina Drive No. 137, Livermore",925-580-6793,x,,,,,,,,Please visit the website www.openheartkitchen.org under the Donate menu to find the donation policy and list of items accepted.,EB
Operation Dignity,"Operation Dignity provides housing and services to homeless veterans, as well as conducting street outreach to homeless encampments in Oakland and Alameda.",http://operationdignity.org,kderrig@operationdignity.org,"3850 San Pablo Ave., Ste. 102, Emeryville",510-287-8465,x,x,,x,,,,,"Socks, prepared bagged lunches,  new dishes and linens.",EB
Project Homeless Connect,"PHC connects people experiencing and at risk of homelessness to services by hosting large-scale events five times a year. Between events, they offer  assistance through their Every Day Connect program. Services include medical, dental and vision care, as well as employment counseling, housing assistance and legal aid.",http://projecthomelessconnect.org,inkinddonations@projecthomelessconnect.org,"25 Van Ness Ave., Ste. 340, San Francisco",415-503-2128,,x,x,x,x,,,,"Warm outerwear (men's sizes L-4XL only), cotton or wool socks (adult size L), adult sleeping bags, hygiene items, adult backpacks, granola bars, and electronics. For the most up-to-date list, please go to https://www.amazon.com/hz/wishlist/ls/1IYRKF6798JZ7/ref=nav_wishlist_lists_2?_encoding=UTF8&type=wishlist",SF
Project WeHope,"Project WeHope is an emergency and supportive housing shelter for unhoused, homeless and at-risk adults in East Palo Alto and surrounding San Mateo County and Santa Clara County communities. This organization also operates a Safe RV Parking Program in Palo Alto as well as Dignity on Wheels, a mobile hygiene unit.",http://projectwehope.org,info@projectwehope.com,"1854 Bay Road, East Palo Alto",650-330-8000,,x,,x,,,,,"Laundry pods, undergarments, bathroom cleaning supplies, linens, pillows, socks, kitchen utensils and more.",SB
Ritter Center,Ritter Center provides health and social services to individuals and families in Marin County.,http://rittercenter.org,communications@rittercenter.org,"16 Ritter St., San Rafael","415-457-8182, ext. 109",x,,x,x,x,,,x,"Canned and sealed food, tuna, peanut butter, canned chili, chunky soups, pasta, pasta sauce, new sleeping bags, new socks in adult sizes, belts and shoelaces, new or gently used hiking shoes or camping-size backpacks",NB
Rubicon Programs,"Rubicon offers a number of services, including job training and financial literacy skills.",http://rubiconprograms.org,allisont@rubiconprograms.org,"2500 Bissell Ave., Richmond",510-231-3994,,,,x,x,x,,,"Clothing (career-appropriate), transportation assistance (BART/bus passes), and gift cards to places like grocery stores",EB
Ruby's Place,Ruby's Place is a shelter that serves survivors of domestic violence and human trafficking.,http://rubysplace.org,info@rubysplace.org,"20880 Baker Road, Castro Valley",510-581-5626,x,x,,x,,,,,"Food, baby wipes, pillows, dish sets, flatware sets, kitchen utensils, pots and pans, trash bags (all sizes), new twin sheet sets, shampoo, deodorants, bar soaps, new twin warm blankets, towels, diapers all sizes, non-bleach cleaning products, Laundry pods, gift cards, paper products, new clothing and shoes for  all sizes/genders, coloring books, crayons, children's games/toys",EB
Safe Alternatives to Violent Environments,"SAVE provides shelter, support and educational opportunities to individuals and families who are victims of domestic violence.",http://save-dv.org,info@save-dv.org,"1900 Mowry Ave., Ste. 201, Fremont",510-574-2250,,x,,x,,,,x,"Hairstyling products and tools (new), towels and washcloths (new), toiletries, and gift cards (Ross, Marshall's, Target, Safeway).",EB
Samaritan House,"Samaritan House is the largest truck-to-table food distribution agency in San Mateo County. Other free services include shelter and housing assistance; free medical and dental clinics; free clothing, shoes and backpacks with school supplies for children; personalized case management and much more.",http://samaritanhousesanmateo.org,info@samaritanhousesanmateo.org,"4031 Pacific Blvd., San Mateo",650-341-4081,x,x,x,x,,,,x,"Good-quality new and nearly new children's clothing and shoes, family-size household cleaning and hygiene supplies. Seasonal needs include fully stocked backpacks in July for the Back to School Program; new Halloween costumes for kids in October; holiday food, new toys, new coats and gift cards for children and teens in December.",SB
San Francisco Community Clinic Consortium,"SFCCC's Street Outreach Services (SOS) program travels in a medical van to sites throughout San Francisco creating 'clinics without walls' at soup kitchens, on city streets, under freeway overpasses, and in parks. Its companion Veterinary Street Outreach Services (Vet SOS) program provides free veterinary care to the pets of homeless San Franciscans and links their human guardians with health care services.",http://sfccc.org,SOS@sfccc.org,"2720 Taylor St., Ste. 430, San Francisco",415-355-2250,,,x,x,,,,,"Warm jackets, rain gear, blankets, towels and sleeping bags. For the VetSOS program, unexpired flea and tick treatment (for all sizes of pets), toys, poop bags, towels, dog shampoos, and leashes are needed",SF
San Francisco-Marin Food Bank,"San Francisco-Marin Food Bank's mission is to end hunger in San Francisco and Marin through its pantry network, home-delivered-grocery program, nutrition-education classes and food-stamp enrollment.",http://sfmfoodbank.org,info@sfmfoodbank.org,"900 Pennsylvania Ave., San Francisco, or 2550 Kerner Blvd., San Rafael",415-282-1900,x,,,,,,,,"Sealed food and beverages, excluding soda",SF
Second Chance,"Second Chance is an addiction recovery program that offers classes, case management and treatment planning.",http://secondchanceinc.com,scbox643@aol.com,"6330-B Thornton Ave., Newark; 107 Jackson St., Hayward",510-792-4357,,,x,x,x,,,,"Canned goods (vegetables specifically), new towels, twin bed sheets and travel-size toiletries",EB
Shelter Inc.,Shelter Inc. provides low-income and homeless families and individuals with housing and resources they need to become self-sufficient.,http://shelterinc.org,shelter@shelterinc.org,"1333 Willow Pass Road, Ste. 206, Concord",925-335-0698,,x,,x,,,,x,"Diapers (sizes 4, 5 and 6), toilet paper, paper towels, dish soap, hand soap, bar soap and laundry detergent",EB
Shepherd's Gate,"Shepherd's Gate is a Christian nonprofit that offers both short-term and long-term and transitional programs tailored to the individual needs of the woman and child they serve. Programs include job-skills training, financial education, nutrition and health lessons, child care, parenting classes and case management.",http://shepherdsgate.org,jgandara@shepherdsgate.org,"1660 Portola Ave., Livermore",925-443-4283,x,,,,x,x,,x,"Fresh meats and produce, full-size personal care items, cleaning supplies, toilet paper and paper towels",EB
Social Advocates for Youth,"This group offers short-term, emergency and affordable housing as well as counseling and career-readiness programs to Sonoma County's at-risk youths.",http://saysc.org,volunteer@saysc.org,"2447 Summerfield Road, Santa Rosa",707-544-3299 ext 255,,x,,x,x,x,,x,"Hygiene items such as full-size shampoo bottles,deodorant and toothpaste; Santa Rosa and Sonoma County bus passes; grocery and gas cards; gift cards to Target and Big 5; brand-new packages of socks and underwear sizes XS through 3XL; First Home Welcome Baskets: a laundry basket filled with move-in essentials a young
person may need,such as towels,basic cookware and dishware,new pillows,new twin XL sheet sets,blankets,cleaning supplies,laundry supplies,Target gift card,welcome note.",NB
St. Anthony Foundation,"St. Anthony's provides meals, medical care, clothing, shelter, addiction recovery services, job training, social services and technology access to poor and homeless people.",http://stanthonysf.org/donate,communications@stanthonysf.org,"150 Golden Gate Ave., San Francisco",415-241-2600,x,x,x,x,x,x,,,"New/like-new clothing (particularly warm coats, hats and scarves, socks, shoes, and belts) and menstrual products.",SF
St. Joseph's Family Center,St. Joseph's Family Center operates a large food distribution pantry and hot meal program.,http://stjosephsgilroy.org,vickym@stjosephsgilroy.org,"7950 Church St., Gilroy","408-842-6662, ext. 30",x,,,,,,,,"During the holidays: turkeys, canned foods, adult socks, toys for children 10 years and younger and diapers; during the summer: easy open or pop-top items for homeless clients and fresh produce",SB
St. Mary's Center,"Each year St. Mary's Center helps about 1,000 seniors living alone, operates a winter emergency shelter and a year-round drop-in center for homeless women, helps families who need groceries,  and operates a preschool for children in poverty.",http://stmaryscenter.org,development@stmaryscenter.org,"925 Brockhurst St., Oakland",510-923-9600,x,x,,x,,,,x,"New underwear, new clothes, women's hygiene products, blankets",EB
Society of St. Vincent de Paul of Alameda County,"Society of St. Vincent de Paul of Alameda County offers shelter, food and support to people in need.",http://svdp-alameda.org,volunteer@svdp-alameda.org,"2272 San Pablo Ave., Oakland",510-638-7600,x,x,,x,,,,,Clothing  and toiletry items,EB
St. Vincent de Paul Society of San Francisco,"St. Vincent de Paul Society of San Francisco offers shelter, food and support to people in need.",http://svdp-sf.org,malvarenga@svdp-sf.org,"525 Fifth St., San Francisco",415-757-6493,x,x,,x,,,,,"While clothing and furniture items are generally not accepted, this organization will work with groups looking to organize a donation drive with their organization",SF
Stand! For Families Free of Violence,"Stand! provides prevention, intervention and treatment programs to stop domestic violence and child abuse.",http://standffov.org,info@standffov.org,"1410 Danzig Place, Concord",For donations: 925-676-2845; for programs/services: 888-215-5555,,,,x,,,,x,"Only new or like-new items accepted. Personal hygiene items including large diapers, twin bedding, towels, children's pajamas, socks, full-size toiletries, cleaning supplies, laundry soap (powder), watercolor paints, new backpacks and school supplies. Grocery and gas gift cards, bus and transportation passes. Must call before delivering donated items.",EB
Sunnyvale Community Services,Sunnyvale Community Services operates a food distribution service and offers financial assistance for Sunnyvale and Alviso residents.,http://svcommunityservices.org,info@svcommunityservices.org,"725 Kifer Road, Sunnyvale",408-738-4321,x,,,,x,,,,Food and toys.,SB
The Gubbio Project,The Gubbio Project provides resting spots and services for those in need of shelter.,http://thegubbioproject.org,admin@thegubbioproject.org,"St. Boniface Church, 133 Golden Gate Ave., San Francisco; St. John the Evangelist, 1661 15th St., San Francisco",415-861-5848,,x,,x,,,,,"Clean and in-good-repair socks, hygiene products, cough drops, blankets and 45-gallon trash bags",SF
The Living Room,The Living Room gives women and children a place to rest during the day when shelters are closed.,http://thelivingroomsc.org,info@thelivingroomsc.org,"1207 Cleveland Ave., Santa Rosa",707-579-0138,,,,x,,,,x,"Sunscreen, batteries, cat and dog food, seasonal women's and children's clothing, tents and tarps, sleeping bags and all-weather coats",NB
The Salvation Army,"The Salvation Army, a  faith-based organization, helps to mitigate poverty through practical support, spiritual comfort and a holistic, critical safety net to people in need.",http://sanfrancisco.salvationarmy.org,N/A,"832 Folsom St., San Francisco (Divisional Headquarters)",415-553-3500,,,,x,,,,,"Clothing, furniture, household items, clothing, socks and toiletries.",SF
Trinity Center,"Trinity Center serves homeless and working poor adults in Walnut Creek. Daily services are offered Monday through Friday, from 8 a.m. to 4 p.m., and include providing food, breakfast and hot lunch, showers and laundry, clothing, mail and telephone access, group activities, referral services and help with benefit applications. They operate an overnight winter shelter (Evening Program) for Trinity Center members every night from December through March.",http://trinitycenterwc.org,info@trinitycenterwc.org,"1271 S. California Blvd., Walnut Creek",925-949-8712,x,,,x,x,,x,,"Trinity Center's  website has an up-to-date list of current needs, and you are welcome to call and inquire as well.",EB
